@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute '' numeric

@data
21,'2024/04/07 20:53:53:398',1,0.366876,0.374835,0.384079,0.40694,0.445514,0.489378,0.532997,0.576931,0.615486,0.646058,0.675113,0.700077,0.714722,0.72043,0.720819,0.720504,0.40477,0.431228,0.4671,0.506805,0.542719,0.602826,0.630482,0.662551,0.689579,0.70629,0.577712,0.582338,0.587738,0.592791,0.541889,0.563648,0.58694,0.605765,0.621747,0.455905,0.477954,0.498295,0.518272,0.498484,0.477674,0.614977,0.6349,0.654185,0.671709,0.654333,0.6354,0.4848,0.523206,0.5611,0.582868,0.604886,0.63154,0.653173,0.632219,0.606221,0.582623,0.559256,0.521572,0.494631,0.560404,0.582458,0.604529,0.643666,0.605356,0.582667,1
22,'2024/04/07 20:53:53:432',1,0.370593,0.378277,0.386489,0.408754,0.447541,0.491353,0.53448,0.577893,0.617796,0.64906,0.678301,0.702113,0.716621,0.722604,0.722921,0.723439,0.406049,0.433613,0.469357,0.508547,0.544069,0.602789,0.631685,0.663942,0.69053,0.70813,0.576864,0.58067,0.585094,0.589183,0.539627,0.56088,0.583603,0.602405,0.618552,0.456588,0.478533,0.498636,0.518289,0.498834,0.478103,0.615547,0.636035,0.654586,0.672278,0.654172,0.636057,0.484316,0.521996,0.558573,0.580296,0.602282,0.629486,0.652246,0.630667,0.604374,0.580951,0.557911,0.521309,0.493962,0.557933,0.579848,0.601996,0.64352,0.603316,0.580954,1
23,'2024/04/07 20:53:53:465',1,0.368318,0.376073,0.384738,0.406885,0.444735,0.48682,0.52853,0.57062,0.609551,0.64135,0.673415,0.70041,0.716107,0.722819,0.723799,0.723916,0.412277,0.441168,0.475521,0.51277,0.546455,0.603439,0.630881,0.661716,0.687674,0.706114,0.577537,0.580569,0.584326,0.587777,0.540523,0.561038,0.582841,0.600921,0.616763,0.459635,0.481981,0.501698,0.520727,0.501619,0.481471,0.615703,0.635808,0.653899,0.671469,0.653928,0.636218,0.485312,0.522151,0.559591,0.580413,0.601184,0.62866,0.650971,0.629686,0.602931,0.57998,0.557664,0.521066,0.495071,0.55877,0.579917,0.600931,0.641827,0.601523,0.579968,1
24,'2024/04/07 20:53:53:498',1,0.367979,0.375286,0.384808,0.406927,0.444703,0.48787,0.530976,0.574989,0.61215,0.643442,0.671729,0.697316,0.712386,0.719124,0.719537,0.71918,0.407231,0.434022,0.46981,0.50896,0.542831,0.600884,0.630156,0.662986,0.69066,0.706687,0.576717,0.580722,0.585615,0.590129,0.539246,0.56135,0.584508,0.60341,0.619323,0.455417,0.477368,0.497231,0.517499,0.497832,0.477388,0.615405,0.635547,0.654174,0.672109,0.654114,0.635744,0.483276,0.521698,0.560061,0.580549,0.601247,0.628457,0.652488,0.62986,0.603633,0.581053,0.558745,0.520751,0.493654,0.559324,0.580178,0.601246,0.642422,0.602417,0.581118,1
25,'2024/04/07 20:53:53:533',1,0.369711,0.376238,0.384855,0.407947,0.446523,0.48859,0.529857,0.572232,0.611157,0.642927,0.673799,0.70047,0.714949,0.720132,0.720722,0.721443,0.406381,0.434211,0.469244,0.507247,0.541299,0.602834,0.630666,0.662096,0.688453,0.704687,0.575273,0.579013,0.583408,0.587636,0.539061,0.559814,0.58149,0.599967,0.615929,0.455571,0.478382,0.49934,0.518635,0.499175,0.477917,0.612383,0.632454,0.651785,0.669826,0.651813,0.632897,0.482396,0.51943,0.55706,0.57802,0.599765,0.627509,0.650879,0.628161,0.600599,0.577272,0.554703,0.517926,0.492923,0.556048,0.577258,0.599188,0.641504,0.600322,0.578036,1
26,'2024/04/07 20:53:53:561',1,0.366147,0.374839,0.384899,0.407747,0.445872,0.487892,0.530519,0.573045,0.610757,0.640811,0.669979,0.696262,0.71125,0.718302,0.720138,0.720725,0.405541,0.432875,0.468544,0.507742,0.541831,0.5988,0.627577,0.660347,0.687865,0.705681,0.574441,0.577598,0.581512,0.585181,0.535949,0.55716,0.579825,0.599067,0.615456,0.45422,0.475526,0.496224,0.516769,0.496863,0.475679,0.611082,0.63039,0.649944,0.668426,0.650432,0.631455,0.482225,0.519304,0.556576,0.576931,0.596933,0.623763,0.647758,0.624781,0.598833,0.577216,0.55525,0.518398,0.493207,0.556078,0.576728,0.596935,0.6381,0.597401,0.576823,1
27,'2024/04/07 20:53:53:595',1,0.365538,0.372431,0.382149,0.405784,0.44427,0.487217,0.529004,0.571628,0.609825,0.641489,0.672588,0.70026,0.71635,0.722552,0.722985,0.721974,0.40704,0.433686,0.468692,0.507726,0.54103,0.597872,0.625978,0.657873,0.685942,0.705125,0.572944,0.576662,0.581104,0.58529,0.538999,0.559565,0.580471,0.597847,0.61301,0.453896,0.476121,0.496501,0.516494,0.497136,0.476393,0.612478,0.63196,0.650862,0.668974,0.651461,0.632841,0.481979,0.51893,0.556505,0.576199,0.596785,0.623693,0.649789,0.625291,0.599305,0.577377,0.555941,0.518782,0.492491,0.556066,0.575862,0.596723,0.640055,0.598117,0.57712,1
28,'2024/04/07 20:53:53:628',1,0.365729,0.373494,0.383338,0.40573,0.442325,0.484162,0.524654,0.566331,0.603837,0.635606,0.667143,0.694826,0.711793,0.71996,0.722171,0.722731,0.404844,0.433207,0.469778,0.508941,0.542665,0.596364,0.625404,0.658921,0.686737,0.704706,0.572965,0.576169,0.579874,0.583333,0.53454,0.555562,0.577809,0.596152,0.611862,0.454325,0.476362,0.496248,0.515657,0.496484,0.476362,0.611585,0.631356,0.649632,0.667916,0.649962,0.631919,0.480952,0.517028,0.553436,0.57317,0.594229,0.621099,0.645381,0.62124,0.594811,0.572899,0.551605,0.515921,0.491614,0.552781,0.572797,0.593899,0.635378,0.594162,0.573023,1
29,'2024/04/07 20:53:53:660',1,0.36377,0.371757,0.38213,0.40492,0.443397,0.485541,0.527144,0.568979,0.605822,0.637599,0.669176,0.697673,0.714181,0.721213,0.721831,0.721764,0.401801,0.429289,0.465796,0.506018,0.541323,0.594181,0.623278,0.656832,0.685669,0.704472,0.57183,0.575439,0.579608,0.583423,0.535352,0.556628,0.578959,0.597517,0.613433,0.450495,0.472722,0.493626,0.514006,0.493828,0.472896,0.61122,0.630805,0.649998,0.668822,0.650717,0.631672,0.480998,0.517982,0.554409,0.574587,0.594689,0.621765,0.645783,0.622308,0.595984,0.574657,0.552924,0.516899,0.491545,0.553767,0.574182,0.594575,0.63589,0.595078,0.574684,1
30,'2024/04/07 20:53:53:693',1,0.366186,0.374047,0.384103,0.406842,0.443594,0.484772,0.525681,0.568148,0.605805,0.636155,0.665888,0.69356,0.710257,0.71793,0.719418,0.720513,0.400971,0.427763,0.463609,0.503655,0.538916,0.595672,0.624713,0.658223,0.686558,0.703856,0.57106,0.574426,0.578389,0.581867,0.53292,0.554885,0.57801,0.59655,0.612626,0.450165,0.472066,0.4929,0.51398,0.493277,0.472084,0.611195,0.631863,0.65108,0.669152,0.651083,0.632004,0.479646,0.515243,0.552345,0.573593,0.595648,0.622808,0.646974,0.623663,0.596817,0.573374,0.550902,0.514362,0.489692,0.552039,0.573394,0.59565,0.636554,0.596007,0.573675,1
